Variant,Stability
37894,-1647.89
95876,-1641.03
114342,-1668.24
54026,-1683.94
18629,-1659.71
99985,-1676.89
112131,-1676.17
34585,-1666.90
90047,-1652.94
44238,-1664.97
13944,-1660.29
18932,-1682.82
19217,-1648.37
46770,-1664.05
5609,-1662.30
19774,-1659.29
106663,-1678.26
89571,-1671.73
33065,-1654.47
15983,-1687.92
101037,-1658.23
54865,-1673.20
38687,-1667.47
3877,-1670.79
86485,-1657.04
19864,-1681.91
120570,-1659.85
34972,-1659.44
5378,-1675.79
47637,-1663.85
14368,-1661.06
81805,-1658.16
37842,-1638.54
53372,-1672.86
1064,-1652.13
14383,-1649.71
97286,-1689.62
32586,-1670.26
38670,-1653.94
15639,-1695.75
40004,-1641.08
43339,-1662.72
52019,-1647.98
10460,-1680.77
37903,-1667.53
48075,-1662.59
111519,-1668.45
40341,-1632.98
52804,-1660.47
10707,-1657.84
15315,-1659.69
38012,-1669.43
81966,-1661.21
65043,-1647.75
89576,-1657.84
88975,-1693.47
93483,-1687.36
15885,-1686.74
114841,-1649.23
54934,-1672.44
10427,-1635.38
46898,-1644.09
111571,-1665.87
46862,-1673.94
33008,-1657.33
122989,-1670.61
39016,-1638.84
120647,-1685.14
29577,-1676.50
94067,-1643.85
95527,-1672.52
77508,-1649.76
46533,-1670.42
16133,-1683.69
93993,-1641.92
40574,-1657.38
67566,-1662.02
47602,-1674.05
26453,-1671.92
55391,-1659.43
112171,-1671.06
44307,-1685.27
43621,-1656.41
4006,-1657.01
48158,-1674.33
37601,-1657.01
52826,-1667.47
89254,-1667.15
47424,-1662.52
55392,-1663.71
59213,-1671.92
67548,-1658.89
12332,-1655.24
106664,-1669.06
106842,-1644.74
15801,-1633.21
88467,-1671.84
113586,-1668.76
55921,-1672.82
12051,-1702.35
95528,-1690.81
123167,-1649.59
5723,-1672.74
33296,-1660.13
104553,-1652.82
13721,-1666.09
15897,-1687.18
99369,-1662.83
38807,-1686.93
89090,-1706.43
95928,-1663.11
85382,-1672.93
112150,-1683.97
90031,-1667.55
16049,-1668.02
105665,-1685.96
47594,-1644.82
53136,-1655.69
82201,-1671.51
20431,-1675.10
93912,-1673.59
52741,-1662.15
45120,-1660.06
99350,-1658.36
111700,-1654.24
52143,-1663.14
42883,-1666.35
48530,-1669.45
19218,-1674.65
59938,-1663.45
67893,-1686.25
124391,-1647.98
40273,-1674.89
18334,-1687.69
113707,-1674.05
40657,-1636.20
112135,-1664.23
121425,-1686.56
85381,-1628.89
31802,-1653.39
54072,-1664.74
52877,-1655.00
34975,-1660.97
104520,-1650.51
113228,-1677.06
19879,-1679.35
12048,-1641.52
43023,-1663.31
23734,-1651.09
5261,-1661.89
93708,-1661.87
48451,-1686.25
85298,-1657.91
38153,-1671.60
81918,-1663.94
71599,-1644.54
34537,-1689.32
34736,-1668.84
85123,-1679.27
111471,-1656.06
71763,-1652.39
5428,-1652.05
81829,-1647.99
96795,-1693.87
16096,-1674.24
19549,-1660.79
99390,-1663.34
18003,-1655.74
120266,-1661.44
34737,-1668.24
10162,-1658.08
120238,-1639.23
121977,-1652.49
120315,-1680.13
42838,-1646.34
52129,-1670.63
99354,-1649.63
89112,-1636.74
5336,-1657.48
94298,-1660.97
20180,-1676.85
82075,-1673.46
53623,-1665.96
19950,-1648.44
35068,-1652.48
113210,-1667.53
101079,-1673.88
15802,-1629.66
47671,-1652.09
46847,-1674.96
4048,-1659.98
52557,-1668.30
44869,-1656.33
106144,-1654.26
11625,-1664.90
36931,-1640.58
121513,-1651.41
48227,-1679.92
77386,-1658.84
35186,-1672.72
114799,-1667.54
46518,-1681.73
89301,-1662.76
95877,-1684.69
32951,-1677.97
99040,-1654.53
46559,-1660.41
108024,-1647.81
122988,-1689.87
88040,-1658.49
67608,-1631.50
77309,-1653.68
55287,-1659.51
89126,-1683.51
12424,-1657.67
88009,-1675.58
123033,-1648.62
18930,-1676.88
18167,-1688.16
121726,-1674.88
11720,-1668.64
121533,-1667.88
52720,-1660.35
112326,-1668.64
3346,-1656.30
76730,-1648.78
29522,-1662.79
52966,-1659.36
37915,-1666.13
830,-1662.53
122247,-1686.01
33650,-1644.59
99967,-1656.29
47478,-1692.88
38520,-1681.31
18695,-1660.46
19640,-1669.54
43719,-1669.55
85122,-1660.16
19365,-1658.39
95133,-1660.77
52832,-1657.74
67682,-1651.81
38068,-1660.81
