Variant,Stability
144,-1674.61
71,-1697.03
189,-1684.12
114,-1690.53
118,-1668.72
120,-1705.90
121,-1678.47
157,-1646.20
65,-1682.10
79,-1666.84
188,-1672.11
16,-1659.01
143,-1666.48
29,-1651.50
98,-1680.54
112,-1664.74
15,-1672.70
156,-1646.88
94,-1639.49
72,-1677.18
27,-1670.03
87,-1655.81
53,-1630.67
147,-1700.23
9,-1680.60
56,-1695.83
160,-1669.81
64,-1669.38
13,-1646.31
141,-1647.07
105,-1708.67
135,-1682.84
54,-1692.25
95,-1671.99
111,-1661.88
108,-1627.43
HG3-17,-1691.84
35,-1675.54
119,-1671.01
67,-1682.45
46,-1659.10
177,-1673.92
150,-1674.84
166,-1674.19
19,-1681.63
36,-1685.57
198,-1637.56
148,-1670.39
128,-1665.60
126,-1634.51
130,-1683.41
50,-1678.67
161,-1655.06
85,-1657.41
76,-1661.13
196,-1659.53
167,-1674.30
61,-1662.37
39,-1653.75
70,-1644.85
158,-1691.06
159,-1666.98
151,-1709.00
90,-1661.09
100,-1659.58
155,-1651.41
180,-1700.08
1,-1650.14
81,-1668.59
62,-1679.26
22,-1656.49
42,-1677.21
186,-1666.81
153,-1673.25
139,-1698.60
52,-1679.14
21,-1660.79
3,-1671.27
83,-1678.21
97,-1650.05
23,-1664.39
24,-1685.78
82,-1633.18
184,-1672.09
164,-1670.36
192,-1656.05
73,-1686.59
34,-1685.53
2,-1659.53
48,-1677.02
59,-1666.94
25,-1681.33
124,-1681.51
77,-1668.58
134,-1674.43
171,-1687.46
75,-1656.98
182,-1656.84
93,-1648.86
110,-1686.25
163,-1659.47
91,-1635.37
18,-1649.95
5,-1668.63
190,-1674.35
66,-1676.75
165,-1678.24
106,-1666.57
194,-1648.17
45,-1645.69
127,-1665.33
146,-1677.28
154,-1661.62
86,-1672.11
175,-1656.63
109,-1680.44
107,-1659.63
68,-1663.86
101,-1697.30
178,-1669.52
113,-1700.32
137,-1647.40
103,-1676.08
136,-1639.69
187,-1683.39
30,-1692.32
14,-1668.92
162,-1679.48
20,-1712.15
4,-1637.58
179,-1669.57
84,-1666.73
11,-1666.51
140,-1646.43
41,-1645.56
102,-1683.97
197,-1685.29
170,-1693.87
142,-1670.12
47,-1672.76
176,-1653.40
152,-1661.61
138,-1676.28
117,-1691.54
181,-1668.16
6,-1637.65
78,-1669.00
17,-1649.20
191,-1684.30
51,-1657.69
174,-1668.72
129,-1653.66
26,-1696.97
183,-1695.29
132,-1684.85
185,-1672.21
173,-1686.61
60,-1637.67
HG3-R5,-1687.86
32,-1695.47
149,-1709.50
12,-1652.89
69,-1634.76
123,-1664.64
168,-1673.77
55,-1640.36
96,-1674.89
43,-1679.06
172,-1696.49
37,-1658.93
28,-1622.33
125,-1680.34
31,-1662.40
133,-1652.86
116,-1664.87
89,-1640.16
104,-1658.87
131,-1650.59
115,-1687.13
122,-1686.00
195,-1671.64
10,-1662.72
8,-1668.85
63,-1655.23
7,-1653.81
88,-1646.36
33,-1656.73
44,-1672.36
38,-1651.67
74,-1679.70
80,-1662.46
145,-1689.53
58,-1706.56
40,-1677.05
193,-1676.59
169,-1650.36
57,-1665.79
